FlightNumber,Airline,DepartureTime,ArrivalTime,Delay,Cancellation,Destination
AirNSR1409,JetFly,2023-01-01 13:14:00,2023-01-01 15:14:00,52,False,SYD
AirNSR7912,AirNSR,2023-01-01 06:05:00,2023-01-01 08:05:00,23,False,GRU
AirNSR4257,PacificWings,2023-01-01 19:14:00,2023-01-01 23:14:00,59,False,JFK
SkyWave7924,JetFly,2023-01-01 14:09:00,2023-01-01 16:09:00,98,False,LHR
AirNSR2519,GlobeAir,2023-01-01 09:22:00,2023-01-01 12:22:00,19,False,JFK
GlobeAir9785,AirNSR,2023-01-01 18:05:00,2023-01-01 23:05:00,19,False,GRU
JetFly4150,AirNSR,2023-01-01 07:42:00,2023-01-01 09:42:00,101,False,LAX
SkyWave2654,GlobeAir,2023-01-01 14:29:00,2023-01-01 17:29:00,64,False,LHR
SkyWave5374,AirNSR,2023-01-01 11:34:00,2023-01-01 13:34:00,8,False,HND
JetFly4598,JetFly,2023-01-01 07:14:00,2023-01-01 08:14:00,54,False,HND
JetFly2084,SkyWave,2023-01-02 16:13:00,2023-01-02 20:13:00,9,False,DXB
SkyWave5339,SkyWave,2023-01-02 13:47:00,2023-01-02 18:47:00,9,False,GRU
GlobeAir7543,JetFly,2023-01-02 13:08:00,2023-01-02 18:08:00,40,False,JFK
AirNSR3504,SkyWave,2023-01-02 19:38:00,2023-01-02 20:38:00,0,False,GRU
GlobeAir9669,JetFly,2023-01-02 06:43:00,2023-01-02 07:43:00,0,False,SYD
JetFly6573,AirNSR,2023-01-02 15:27:00,2023-01-02 17:27:00,4,False,CDG
PacificWings3927,PacificWings,2023-01-02 09:55:00,2023-01-02 12:55:00,0,False,SYD
PacificWings4258,SkyWave,2023-01-02 17:48:00,2023-01-02 19:48:00,44,False,SYD
AirNSR6310,GlobeAir,2023-01-02 06:07:00,2023-01-02 09:07:00,0,False,CDG
SkyWave1949,SkyWave,2023-01-02 08:05:00,2023-01-02 12:05:00,0,False,SYD
SkyWave3103,GlobeAir,2023-01-03 11:16:00,2023-01-03 16:16:00,95,False,HND
SkyWave9835,SkyWave,2023-01-03 15:25:00,2023-01-03 18:25:00,19,False,SYD
GlobeAir2982,SkyWave,2023-01-03 13:04:00,2023-01-03 16:04:00,33,True,SYD
SkyWave4608,AirNSR,2023-01-03 08:45:00,2023-01-03 09:45:00,0,False,JFK
JetFly2160,PacificWings,2023-01-03 13:17:00,2023-01-03 17:17:00,5,False,ORD
PacificWings8744,SkyWave,2023-01-03 21:51:00,2023-01-04 01:51:00,34,False,LAX
GlobeAir6804,GlobeAir,2023-01-03 19:29:00,2023-01-03 20:29:00,0,False,LAX
AirNSR7596,JetFly,2023-01-03 09:15:00,2023-01-03 11:15:00,46,False,DXB
SkyWave7912,SkyWave,2023-01-03 14:29:00,2023-01-03 16:29:00,2,False,LAX
GlobeAir2604,AirNSR,2023-01-03 06:05:00,2023-01-03 08:05:00,16,False,DXB
GlobeAir4502,GlobeAir,2023-01-04 07:10:00,2023-01-04 11:10:00,2,True,HND
JetFly8454,JetFly,2023-01-04 19:44:00,2023-01-05 00:44:00,113,False,DXB
SkyWave4111,JetFly,2023-01-04 12:03:00,2023-01-04 17:03:00,29,False,JFK
JetFly1936,AirNSR,2023-01-04 21:32:00,2023-01-05 02:32:00,0,False,SYD
AirNSR4044,AirNSR,2023-01-04 08:43:00,2023-01-04 10:43:00,67,False,GRU
SkyWave1651,PacificWings,2023-01-04 08:26:00,2023-01-04 13:26:00,0,False,LHR
JetFly4346,JetFly,2023-01-04 13:16:00,2023-01-04 17:16:00,39,False,CDG
GlobeAir6180,AirNSR,2023-01-04 06:29:00,2023-01-04 11:29:00,0,False,LAX
AirNSR9808,SkyWave,2023-01-04 22:16:00,2023-01-05 00:16:00,0,False,LAX
SkyWave7054,JetFly,2023-01-04 11:28:00,2023-01-04 16:28:00,38,False,GRU
PacificWings1128,PacificWings,2023-01-05 15:59:00,2023-01-05 16:59:00,63,False,ORD
JetFly2891,AirNSR,2023-01-05 10:17:00,2023-01-05 13:17:00,37,False,LHR
SkyWave5325,PacificWings,2023-01-05 21:16:00,2023-01-05 22:16:00,24,False,HND
JetFly1722,AirNSR,2023-01-05 16:49:00,2023-01-05 18:49:00,16,False,CDG
SkyWave8239,PacificWings,2023-01-05 19:35:00,2023-01-05 20:35:00,0,False,ORD
PacificWings1590,JetFly,2023-01-05 10:27:00,2023-01-05 12:27:00,0,True,LHR
AirNSR6862,SkyWave,2023-01-05 13:42:00,2023-01-05 14:42:00,9,False,SYD
GlobeAir3532,SkyWave,2023-01-05 11:51:00,2023-01-05 13:51:00,77,False,JFK
SkyWave6442,GlobeAir,2023-01-05 13:17:00,2023-01-05 15:17:00,45,False,LAX
GlobeAir1634,GlobeAir,2023-01-05 13:12:00,2023-01-05 17:12:00,0,False,ATL
SkyWave1387,SkyWave,2023-01-06 18:21:00,2023-01-06 21:21:00,44,False,CDG
JetFly9346,GlobeAir,2023-01-06 16:01:00,2023-01-06 17:01:00,12,False,CDG
SkyWave5349,AirNSR,2023-01-06 09:38:00,2023-01-06 13:38:00,0,False,LHR
GlobeAir9379,AirNSR,2023-01-06 18:57:00,2023-01-06 23:57:00,57,False,JFK
GlobeAir1027,PacificWings,2023-01-06 12:23:00,2023-01-06 16:23:00,76,False,LHR
PacificWings6143,AirNSR,2023-01-06 15:32:00,2023-01-06 18:32:00,71,False,LHR
GlobeAir5844,PacificWings,2023-01-06 10:12:00,2023-01-06 14:12:00,0,False,HND
SkyWave5930,GlobeAir,2023-01-06 06:19:00,2023-01-06 09:19:00,16,False,GRU
PacificWings6279,GlobeAir,2023-01-06 20:28:00,2023-01-06 22:28:00,44,False,ORD
AirNSR5649,PacificWings,2023-01-06 16:05:00,2023-01-06 18:05:00,73,False,ATL
